store,week,product,quantity,count,price,promotion,cost,price_carton,price_50tab_equiv,cost_50tab_equiv,quantity_50tab_equiv,cost_50tab_equiv_mean,market_share,market_share_mean
62,40,1,6,12910,3.6600001,0,2.4000001,3.4204652,7.3200002,4.8000002,3,4.3645377,.019736841,.066228166
72,13,1,7,16389,3.28,0,2.1199999,3.4204652,6.5599999,4.2399998,3.5,4.3645377,.053846154,.066228166
71,20,1,15,18319,3.47,0,2.2,3.4204652,6.9400001,4.4000001,7.5,4.3645377,.066079296,.066228166
72,20,1,12,16676,3.53,0,2.25,3.4204652,7.0599999,4.5,6,4.3645377,.06703911,.066228166
71,13,1,16,18262,3.25,0,2.0699999,3.4204652,6.5,4.1399999,8,4.3645377,.10126583,.066228166
50,47,1,10,12081,3.6099999,0,2.3599999,3.4204652,7.2199998,4.7199998,5,4.3645377,.064516127,.066228166
73,20,1,23,26810,3.53,0,2.27,3.4204652,7.0599999,4.54,11.5,4.3645377,.096638657,.066228166
70,13,1,21,22777,3.29,0,2.0999999,3.4204652,6.5799999,4.1999998,10.5,4.3645377,.083665341,.066228166
74,20,1,23,23983,3.54,0,2.28,3.4204652,7.0799999,4.5599999,11.5,4.3645377,.073248409,.066228166
59,40,1,9,12956,3.48,0,2.21,3.4204652,6.96,4.4200001,4.5,4.3645377,.046875,.066228166
68,13,1,16,18483,3.3099999,0,2.1300001,3.4204652,6.6199999,4.2600002,8,4.3645377,.10457516,.066228166
75,20,1,17,24164,3.52,0,2.25,3.4204652,7.04,4.5,8.5,4.3645377,.10625,.066228166
115,41,1,10,22717,3.3900001,0,2.1400001,3.4204652,6.7800002,4.2800002,5,4.3645377,.023474179,.066228166
73,45,1,20,21653,3.53,0,2.26,3.4204652,7.0599999,4.52,10,4.3645377,.071428575,.066228166
76,20,1,21,24897,3.53,0,2.27,3.4204652,7.0599999,4.54,10.5,4.3645377,.094170406,.066228166
67,13,1,7,13849,3.24,0,2.0599999,3.4204652,6.48,4.1199999,3.5,4.3645377,.034825869,.066228166
77,20,1,12,17123,3.52,0,2.27,3.4204652,7.04,4.54,6,4.3645377,.06936416,.066228166
64,13,1,12,12638,3.23,0,2.03,3.4204652,6.46,4.0599999,6,4.3645377,.080536909,.066228166
114,47,1,37,29351,3.53,0,2.29,3.4204652,7.0599999,4.5799999,18.5,4.3645377,.1,.066228166
118,2,1,9,13637,3.25,0,2.01,3.4204652,6.5,4.02,4.5,4.3645377,.075630255,.066228166
78,20,1,10,18751,3.5,0,2.23,3.4204652,7,4.46,5,4.3645377,.051282052,.066228166
62,13,1,8,11398,3.3299999,0,2.1700001,3.4204652,6.6599998,4.3400002,4,4.3645377,.056338027,.066228166
80,20,1,16,26175,3.49,0,2.23,3.4204652,6.98,4.46,8,4.3645377,.041666668,.066228166
56,40,1,12,13808,3.47,0,2.2,3.4204652,6.9400001,4.4000001,6,4.3645377,.064516127,.066228166
59,13,1,14,13421,3.3399999,0,2.1800001,3.4204652,6.6799998,4.3600001,7,4.3645377,.083832338,.066228166
81,20,1,9,23471,3.5,0,2.25,3.4204652,7,4.5,4.5,4.3645377,.037815128,.066228166
80,33,1,17,25756,3.5599999,0,2.3,3.4204652,7.1199999,4.5999999,8.5,4.3645377,.05821918,.066228166
83,20,1,31,25215,3.52,0,2.27,3.4204652,7.04,4.54,15.5,4.3645377,.13839285,.066228166
56,13,1,10,14571,3.3399999,0,2.1800001,3.4204652,6.6799998,4.3600001,5,4.3645377,.054945055,.066228166
116,41,1,16,19583,3.5799999,0,2.3099999,3.4204652,7.1599998,4.6199999,8,4.3645377,.050000001,.066228166
84,20,1,17,16186,3.5699999,0,2.29,3.4204652,7.1399999,4.5799999,8.5,4.3645377,.1118421,.066228166
112,35,1,26,26378,3.51,0,2.25,3.4204652,7.02,4.5,13,4.3645377,.071625344,.066228166
54,13,1,14,14682,3.3299999,0,2.1500001,3.4204652,6.6599998,4.3000002,7,4.3645377,.089171976,.066228166
86,20,1,14,20311,3.52,0,2.26,3.4204652,7.04,4.52,7,4.3645377,.07253886,.066228166
53,13,1,6,15482,3.3599999,0,2.1600001,3.4204652,6.7199998,4.3200002,3,4.3645377,.047619049,.066228166
49,47,1,9,19433,3.5599999,0,2.3099999,3.4204652,7.1199999,4.6199999,4.5,4.3645377,.060810812,.066228166
89,20,1,14,22249,3.5,0,2.22,3.4204652,7,4.4400001,7,4.3645377,.10769231,.066228166
54,40,1,10,14156,3.47,0,2.2,3.4204652,6.9400001,4.4000001,5,4.3645377,.057142857,.066228166
52,13,1,13,17950,3.3,0,2.1300001,3.4204652,6.5999999,4.2600002,6.5,4.3645377,.059090909,.066228166
90,20,1,9,16018,3.51,0,2.24,3.4204652,7.02,4.48,4.5,4.3645377,.084905662,.066228166
117,2,1,13,14374,3.26,0,2.02,3.4204652,6.52,4.04,6.5,4.3645377,.079268292,.066228166
91,20,1,12,15994,3.5899999,0,2.3299999,3.4204652,7.1799998,4.6599998,6,4.3645377,.07692308,.066228166
51,13,1,6,16709,3.29,0,2.0999999,3.4204652,6.5799999,4.1999998,3,4.3645377,.035928145,.066228166
72,37,1,15,14801,3.5899999,0,2.3199999,3.4204652,7.1799998,4.6399999,7.5,4.3645377,.07692308,.066228166
102,44,1,25,31993,3.48,0,2.21,3.4204652,6.96,4.4200001,12.5,4.3645377,.073099412,.066228166
92,20,1,20,18530,3.48,0,2.22,3.4204652,6.96,4.4400001,10,4.3645377,.13986014,.066228166
